text,keywords
I am extremely honored to receive this great review from you!,"['great review', 'review', 'extremely honored', 'honored receive', 'honored', 'receive great', 'extremely', 'great', 'receive']"
"Unfortunately, CeraVe is not cruelty-free.","['cerave cruelty', 'cruelty free', 'cruelty', 'unfortunately cerave', 'cerave', 'unfortunately']"
"It's a water-based cleanser; I got it yesterday, thinking it was a cleansing oil.","['cleansing oil', 'cleanser', 'based cleanser', 'cleansing', 'cleanser got', 'water based', 'thinking cleansing', 'oil', 'water', 'based']"
America not having the good stuff is so annoying! I need that!,"['america having', 'america', 'annoying need', 'stuff annoying', 'need', 'having good', 'good stuff', 'stuff', 'annoying']"
It's better to use a second cleanser.,"['second cleanser', 'cleanser', 'use second', 'better use', 'second', 'better', 'use']"
My oily skin is screaming.,"['skin screaming', 'oily skin', 'oily', 'screaming', 'skin']"
"I don't know why many of my CeraVe cleansers say it's a soap, and if I read the ingredient list in French, it says ""crème."" It doesn't foam, but they tell me it's a cleanser.","['cerave cleansers', 'soap', 'says crème', 'crème', 'crème doesn', 'say soap', 'cleanser', 'cleansers say', 'tell cleanser', 'foam tell']"
"I only use balms to remove my makeup; Clinique is good, but expensive. The Soap & Glory one is great.","['makeup clinique', 'use balms', 'balms remove', 'expensive soap', 'remove makeup', 'clinique good', 'soap', 'makeup', 'balms', 'clinique']"
"We have this in Australia! Not designed to be used as a makeup remover, but it does a good job of it anyway.","['makeup remover', 'makeup', 'used makeup', 'australia', 'remover', 'remover does', 'australia designed', 'designed used']"
"I definitely prefer this over the CeraVe foaming cleaner; FYI, that one burns my eyes.","['cerave foaming', 'foaming cleaner', 'prefer cerave', 'cerave', 'cleaner fyi', 'definitely prefer', 'foaming', 'cleaner', 'prefer', 'burns eyes']"
"Actually, I've been using this product for a very long time, and it does foam up quite a bit; all you need is a bit more water.","['does foam', 'foam quite', 'foam', 'bit water', 'water', 'using product', 'does', 'quite bit']"
"I think it would be fine in a double cleanse if all you use is sunscreen, but anything with any tint isn't the best option.","['sunscreen tint', 'double cleanse', 'use sunscreen', 'sunscreen', 'cleanse use', 'cleanse', 'tint isn', 'tint', 'fine double', 'double']"
Mine does foam up when you need to add more water than just damp skin for it to foam though.,"['does foam', 'skin foam', 'foam need', 'foam', 'damp skin', 'just damp', 'damp', 'add water', 'water just', 'water']"
Rub it together with water in your hands first; it does actually foam up a bit and work better.,"['rub water', 'actually foam', 'foam', 'foam bit', 'rub', 'water hands', 'work better', 'water', 'work', 'hands does']"
It's water-based.,"['water based', 'water', 'based']"
I can't believe we've had it in Australia for so long before it's popular in the US. Glad you like it!,"['ve australia', 'australia', 'australia long', 'popular glad', 'popular', 'long popular', 'glad', 'glad like']"
I don't really know why they won't make this available in the US! Thanks for the demo.,"['demo', 'thanks demo', 'make available', 'available', 'thanks']"
"Wait, I've been using it with water; I've been using it all wrong.","['using water', 'water', 'water ve', 've using', 'using wrong', 'using', 'wrong', 'wait ve', 've']"
You have to foam it up in your hand.,"['foam hand', 'foam', 'hand']"
"You put it on, add water, and it foams; that's why they say damp skin doesn't help.","['damp skin', 'damp', 'say damp', 'water foams', 'foams say', 'add water', 'skin doesn', 'foams', 'skin', 'water']"
"I have a cream that I foam and really enjoy it! To enhance the texture, I add water to my cleanser to create foam.","['cream foam', 'create foam', 'foam', 'cream', 'foam really', 'water cleanser', 'cleanser', 'enhance texture', 'cleanser create', 'texture']"
I've got this; it's perfect.,"['perfect', 'got perfect', 've got', 've', 'got']"
I'm curious about the new Isdin Oil Cleanser.,"['isdin oil', 'oil cleanser', 'cleanser', 'new isdin', 'isdin', 'oil', 'curious new', 'new', 'curious']"
You are naturally very beautiful.,"['naturally beautiful', 'beautiful', 'naturally']"
It's now here in the US! Yay!,['yay']
This product is similar to a cleansing oil.,"['cleansing oil', 'similar cleansing', 'cleansing', 'oil', 'product similar', 'similar', 'product']"
They are conducting animal tests.,"['animal tests', 'conducting animal', 'tests', 'animal', 'conducting']"
I use it with a muslin cloth and find it foams up a lot less with that.,"['cloth foams', 'muslin cloth', 'use muslin', 'foams lot', 'foams', 'muslin', 'cloth']"
That looks like it will take off lash extensions.,"['lash extensions', 'lash', 'like lash', 'extensions', 'looks like', 'looks', 'like']"
"Ugh, I have eczema and combination skin; CeraVe products either dry me out or make me feel sticky. I hate it.","['eczema combination', 'ugh eczema', 'eczema', 'skin cerave', 'cerave products', 'combination skin', 'feel sticky', 'products dry', 'skin', 'cerave']"
